slot,slot_round,strong_source,weak_source,strong_team_id,weak_team_id,winner_team_id,winner_team,win_probability,game_id
R1Z2,1,Z02,Z15,1345,1474,1345,Purdue,0.6919195068566726,2026_1345_1474
R1Z3,1,Z03,Z14,1211,1244,1211,Gonzaga,0.6919354673458922,2026_1211_1244
R1Z4,1,Z04,Z13,1116,1218,1116,Arkansas,0.6918985562021346,2026_1116_1218
R1Z5,1,Z05,Z12,1458,1219,1458,Wisconsin,0.6918871332444743,2026_1219_1458
R1Z6,1,Z06,Z11,1140,1301,1140,BYU,0.6918404120795084,2026_1140_1301
R1Z7,1,Z07,Z10,1274,1281,1274,Miami FL,0.6918692755195308,2026_1274_1281
R1Z8,1,Z08,Z09,1437,1429,1437,Villanova,0.6918084727662728,2026_1429_1437
R2W1,2,R1W1,R1W8,1181,1326,1181,Duke,0.6919537808453835,2026_1181_1326
R2W2,2,R1W2,R1W7,1163,1417,1163,Connecticut,0.6918314480291843,2026_1163_1417
R2W3,2,R1W3,R1W6,1277,1257,1277,Michigan St,0.6918458229120404,2026_1257_1277
R2W4,2,R1W4,R1W5,1242,1385,1242,Kansas,0.6918056707663903,2026_1242_1385
R2X1,2,R1X1,R1X8,1196,1155,1196,Florida,0.6918950964493203,2026_1155_1196
R2X2,2,R1X2,R1X7,1222,1388,1222,Houston,0.6919036717727478,2026_1222_1388
R2X3,2,R1X3,R1X6,1228,1314,1228,Illinois,0.6918901866847231,2026_1228_1314
R2X4,2,R1X4,R1X5,1304,1435,1304,Nebraska,0.6918223674851817,2026_1304_1435
R2Y1,2,R1Y1,R1Y8,1276,1208,1276,Michigan,0.6919349122836712,2026_1208_1276
R2Y2,2,R1Y2,R1Y7,1235,1246,1235,Iowa St,0.691880699844439,2026_1235_1246
R2Y3,2,R1Y3,R1Y6,1438,1397,1438,Virginia,0.6917862793306231,2026_1397_1438
R2Y4,2,R1Y4,R1Y5,1104,1403,1104,Alabama,0.6918762757711856,2026_1104_1403
R2Z1,2,R1Z1,R1Z8,1112,1437,1112,Arizona,0.6918942505621907,2026_1112_1437
R2Z2,2,R1Z2,R1Z7,1345,1274,1345,Purdue,0.6918768607080849,2026_1274_1345
R2Z3,2,R1Z3,R1Z6,1211,1140,1211,Gonzaga,0.6918893586675042,2026_1140_1211
R2Z4,2,R1Z4,R1Z5,1116,1458,1116,Arkansas,0.6918132613999628,2026_1116_1458
R3W1,3,R2W1,R2W4,1181,1242,1181,Duke,0.6919043779167342,2026_1181_1242
R3W2,3,R2W2,R2W3,1163,1277,1163,Connecticut,0.6918342303413579,2026_1163_1277
R3X1,3,R2X1,R2X4,1196,1304,1196,Florida,0.6918152783914608,2026_1196_1304
R3X2,3,R2X2,R2X3,1222,1228,1222,Houston,0.6918275998130169,2026_1222_1228
R3Y1,3,R2Y1,R2Y4,1276,1104,1276,Michigan,0.6918613127964249,2026_1104_1276
R3Y2,3,R2Y2,R2Y3,1235,1438,1235,Iowa St,0.6918081043939112,2026_1235_1438
R3Z1,3,R2Z1,R2Z4,1112,1116,1112,Arizona,0.6918190530329302,2026_1112_1116
R3Z2,3,R2Z2,R2Z3,1345,1211,1345,Purdue,0.6918777901613762,2026_1211_1345
R4W1,4,R3W1,R3W2,1181,1163,1181,Duke,0.6918214502656173,2026_1163_1181
R4X1,4,R3X1,R3X2,1196,1222,1196,Florida,0.691749777740312,2026_1196_1222
R4Y1,4,R3Y1,R3Y2,1276,1235,1276,Michigan,0.6917808775868101,2026_1235_1276
R4Z1,4,R3Z1,R3Z2,1112,1345,1112,Arizona,0.6917317455431847,2026_1112_1345
R5WX,5,R4W1,R4X1,1181,1196,1196,Florida,0.6917883614507233,2026_1181_1196
R5YZ,5,R4Y1,R4Z1,1276,1112,1276,Michigan,0.691760919031371,2026_1112_1276
R6CH,6,R5WX,R5YZ,1196,1276,1196,Florida,0.6916621199885219,2026_1196_1276
