slot,slot_round,strong_source,weak_source,strong_team_id,weak_team_id,winner_team_id,winner_team,win_probability,game_id
R2W1,2,R1W1,R1W8,1181,1326,1181,Duke,0.8394226816330725,2026_1181_1326
R2W2,2,R1W2,R1W7,1163,1417,1163,Connecticut,0.6145525861988818,2026_1163_1417
R2W3,2,R1W3,R1W6,1277,1257,1277,Michigan St,0.6171471055835954,2026_1257_1277
R2W4,2,R1W4,R1W5,1242,1385,1242,Kansas,0.538899725741591,2026_1242_1385
R2X1,2,R1X1,R1X8,1196,1155,1196,Florida,0.7976729902967815,2026_1155_1196
R2X2,2,R1X2,R1X7,1222,1401,1222,Houston,0.7632222439171409,2026_1222_1401
R2X3,2,R1X3,R1X6,1228,1314,1228,Illinois,0.7388973700598087,2026_1228_1314
R2X4,2,R1X4,R1X5,1304,1435,1304,Nebraska,0.6167981551676858,2026_1304_1435
R2Y1,2,R1Y1,R1Y8,1276,1208,1276,Michigan,0.7999598396037202,2026_1208_1276
R2Y2,2,R1Y2,R1Y7,1235,1246,1235,Iowa St,0.7393732172943773,2026_1235_1246
R2Y3,2,R1Y3,R1Y6,1438,1397,1438,Virginia,0.5792914126959703,2026_1397_1438
R2Y4,2,R1Y4,R1Y5,1104,1403,1104,Alabama,0.6750220114218558,2026_1104_1403
R2Z1,2,R1Z1,R1Z8,1112,1437,1112,Arizona,0.7775958290682811,2026_1112_1437
R2Z2,2,R1Z2,R1Z7,1345,1274,1345,Purdue,0.720821400198978,2026_1274_1345
R2Z3,2,R1Z3,R1Z6,1211,1140,1211,Gonzaga,0.6495874304941849,2026_1140_1211
R2Z4,2,R1Z4,R1Z5,1116,1458,1116,Arkansas,0.6323829420336539,2026_1116_1458
R3W1,3,R2W1,R2W4,1181,1242,1181,Duke,0.7570842078816317,2026_1181_1242
R3W2,3,R2W2,R2W3,1163,1277,1163,Connecticut,0.6072124566500481,2026_1163_1277
R3X1,3,R2X1,R2X4,1196,1304,1196,Florida,0.6622838877720173,2026_1196_1304
R3X2,3,R2X2,R2X3,1222,1228,1222,Houston,0.6510801809547574,2026_1222_1228
R3Y1,3,R2Y1,R2Y4,1276,1104,1276,Michigan,0.6884964943862354,2026_1104_1276
R3Y2,3,R2Y2,R2Y3,1235,1438,1235,Iowa St,0.7678381202919634,2026_1235_1438
R3Z1,3,R2Z1,R2Z4,1112,1116,1112,Arizona,0.7070283654324672,2026_1112_1116
R3Z2,3,R2Z2,R2Z3,1345,1211,1345,Purdue,0.6647408088852155,2026_1211_1345
R4W1,4,R3W1,R3W2,1181,1163,1181,Duke,0.7211659886785494,2026_1163_1181
R4X1,4,R3X1,R3X2,1196,1222,1196,Florida,0.5992010197282347,2026_1196_1222
R4Y1,4,R3Y1,R3Y2,1276,1235,1276,Michigan,0.6705217960259331,2026_1235_1276
R4Z1,4,R3Z1,R3Z2,1112,1345,1112,Arizona,0.6838327652816597,2026_1112_1345
R5WX,5,R4W1,R4X1,1181,1196,1196,Florida,0.654270454727634,2026_1181_1196
R5YZ,5,R4Y1,R4Z1,1276,1112,1276,Michigan,0.6455394967473861,2026_1112_1276
R6CH,6,R5WX,R5YZ,1196,1276,1196,Florida,0.6620074034506835,2026_1196_1276
