slot,slot_round,strong_source,weak_source,strong_team_id,weak_team_id,winner_team_id,winner_team,win_probability,game_id
R3W2,3,R2W2,R2W3,1163,1277,1163,Connecticut,0.6247418860327624,2026_1163_1277
R3X1,3,R2X1,R2X4,1196,1435,1196,Florida,0.7504941011324037,2026_1196_1435
R3X2,3,R2X2,R2X3,1222,1228,1228,Illinois,0.36499862371854286,2026_1222_1228
R3Y1,3,R2Y1,R2Y4,1276,1104,1276,Michigan,0.6609784283273709,2026_1104_1276
R3Y2,3,R2Y2,R2Y3,1235,1438,1235,Iowa St,0.6741267542531133,2026_1235_1438
R3Z1,3,R2Z1,R2Z4,1112,1116,1112,Arizona,0.6448573711530114,2026_1112_1116
R3Z2,3,R2Z2,R2Z3,1345,1211,1345,Purdue,0.6369435855173997,2026_1211_1345
R4W1,4,R3W1,R3W2,1181,1163,1181,Duke,0.65702658860833,2026_1163_1181
R4X1,4,R3X1,R3X2,1196,1228,1196,Florida,0.6288496163918821,2026_1196_1228
R4Y1,4,R3Y1,R3Y2,1276,1235,1276,Michigan,0.6534452234368722,2026_1235_1276
R4Z1,4,R3Z1,R3Z2,1112,1345,1345,Purdue,0.40799486278003083,2026_1112_1345
R5WX,5,R4W1,R4X1,1181,1196,1196,Florida,0.6576552015285243,2026_1181_1196
R5YZ,5,R4Y1,R4Z1,1276,1345,1276,Michigan,0.6426548653578986,2026_1276_1345
R6CH,6,R5WX,R5YZ,1196,1276,1196,Florida,0.632167275933255,2026_1196_1276
